Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jack Aker          R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Steve Barber       L   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Jim Barr           R   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Jim Bibby          R   2   0   0   0   0   3   0   1   0   1   0  .000  .600  .000 
Jack Billingham    R   8   2   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Wade Blasingame    L   8   2   1   0   0   0   0   2   0   0   0  .250  .250  .375 
Steve Blass        R   8   0   0   0   0   1   0   1   0   0   0  .000  .111  .000 
Bill Bonham        R   7   1   1   0   0   0   0   2   0   0   0  .143  .143  .286 
Pedro Borbon       R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Tom Bradley        R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Bucky Brandon      R   6   1   0   0   0   1   0   0   0   0   0  .167  .286  .167 
Ken Brett          L  22   3   0   0   1   3   0   0   0   0   0  .136  .240  .273 
Nelson Briles      R   4   1   0   0   0   0   0   0   0   1   0  .250  .250  .250 
George Brunet      L  12   4   1   0   0   0   0   2   0   1   0  .333  .333  .417 
Ron Bryant         L  19   3   0   0   0   3   0   2   0   0   0  .158  .273  .158 
Tom Burgmeier      L   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Bill Butler        L   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Les Cain           L   8   2   0   0   1   2   0   1   0   0   0  .250  .400  .625 
Mike Caldwell      L  20   5   0   1   0   2   0   2   0   0   0  .250  .318  .350 
Steve Carlton      L  53  16   1   1   0  11   0  10   0   2   0  .302  .422  .358 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Clay Carroll       R   7   2   1   0   0   0   0   1   0   0   0  .286  .286  .429 
Reggie Cleveland   R   4   0   0   0   0   2   0   2   0   1   0  .000  .333  .000 
Mike Corkins       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Mike Cosgrove      L   2   0   0   0   0   0   0   0   1   0   1  .000  .250  .000 
Jim Crawford       L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Mike Cuellar       L  20   5   0   0   1   2   0   4   0   0   0  .250  .318  .400 
Ray Culp           R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
John Cumberland    L   3   1   0   0   0   2   0   0   0   0   1  .333  .500  .333 
John Curtis        L   4   0   0   0   0   2   1   1   0   0   0  .000  .333  .000 
Pat Dobson         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Al Downing         L  27  10   2   0   0   4   0   1   0   0   0  .370  .452  .444 
Moe Drabowsky      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dick Ellsworth     L   8   2   0   0   0   0   0   1   0   0   0  .250  .250  .250 
