Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bronson Arroyo     R  10   3   1   0   1   0   0   4   0   0   0  .300  .300  .700 
Chad Billingsley   R   3   1   0   0   0   0   0   1   0   1   0  .333  .333  .333 
A.J. Burnett       R   6   1   0   0   0   0   0   1   0   0   0  .167  .167  .167 
Chris Carpenter    R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Casey Coleman      R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Johnny Cueto       R   4   1   0   0   0   0   0   1   0   1   0  .250  .250  .250 
Marco Estrada      R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
Yovani Gallardo    R   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Roy Halladay       R   5   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
J.A. Happ          L   3   1   1   0   0   0   0   1   0   1   0  .333  .333  .667 
Joe Kelly          R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Ian Kennedy        R   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Clayton Kershaw    L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Mike Leake         R   2   0   0   0   0   2   0   2   0   1   0  .000  .500  .000 
F. Liriano         L   6   1   0   0   0   1   0   3   0   0   0  .167  .286  .167 
Lance Lynn         R   6   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chris Narveson     L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Bud Norris         R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Johan Santana      L   4   0   0   0   0   0   0   3   0   0   0  .000  .000  .000 
Eric Stults        L   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Adam Wainwright    R   8   2   0   0   1   0   0   2   0   1   0  .250  .250  .625
