Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Fernando Abad      L   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Jose Acevedo       R   3   1   0   0   1   0   0   0   0   0   1  .333  .250 1.333 
Alfredo Aceves     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Manny Acosta       R   6   3   0   0   0   2   1   0   0   0   0  .500  .625  .500 
Mike Adams         R   8   2   0   0   0   1   0   3   0   0   0  .250  .333  .250 
Jeremy Affeldt     L   4   0   0   0   0   5   1   1   0   0   1  .000  .500  .000 
Matt Albers        R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
A. Alfonseca       R   6   1   0   0   0   2   0   1   0   0   0  .167  .375  .167 
H. Alvarez         R  21  10   2   0   1   0   0   1   0   0   0  .476  .476  .714 
Greg Aquino        R   3   1   0   0   0   1   0   2   0   0   0  .333  .500  .333 
Alberto Arias      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Tony Armas         R  13   1   0   1   0   0   0   2   0   0   0  .077  .077  .231 
Jose Arredondo     R   6   4   1   0   1   1   0   0   0   0   0  .667  .714 1.333 
Jake Arrieta       R   4   0   0   0   0   2   0   2   0   0   0  .000  .333  .000 
Bronson Arroyo     R  44  13   0   0   1   2   0   7   0   0   1  .295  .319  .364 
Luis Atilano       R   7   4   2   0   0   0   0   1   0   0   1  .571  .500  .857 
Luis Avilan        L   4   2   0   0   0   1   0   1   1   0   0  .500  .667  .500 
John Axford        R   5   1   0   0   0   1   0   2   0   0   0  .200  .333  .200 
Luis Ayala         R  14   4   3   0   0   2   0   1   0   0   0  .286  .375  .500 
Brandon Backe      R   9   1   0   0   0   3   0   3   0   0   0  .111  .333  .111 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Michael Bacsik     L   5   2   1   0   0   1   0   0   0   0   0  .400  .500  .600 
Burke Badenhop     R  12   2   0   0   1   0   0   1   0   0   0  .167  .167  .417 
Cha-Seung Baek     R   7   3   0   0   0   0   0   0   0   0   0  .429  .429  .429 
Danys Baez         R  10   3   1   0   0   1   0   1   0   0   0  .300  .364  .400 
Homer Bailey       R  12   6   1   0   0   1   0   1   0   0   0  .500  .538  .583 
Scott Baker        R   6   3   0   0   1   0   0   1   0   0   0  .500  .500 1.000 
Collin Balester    R   5   1   1   0   0   1   0   0   0   0   0  .200  .333  .400 
Josh Banks         R   6   3   1   0   0   0   0   1   0   0   0  .500  .500  .667 
Anthony Bass       R   7   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Antonio Bastardo   L  12   3   1   0   0   1   1   3   0   0   0  .250  .308  .333 
Miguel Batista     R  13   4   0   0   3   0   0   3   0   0   0  .308  .308 1.000 
Josh Beckett       R  21   1   0   0   0   2   0   3   0   0   0  .048  .130  .048 
Erik Bedard        L   4   2   0   0   0   2   0   0   0   0   0  .500  .667  .500 
Ronald Belisario   R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Matt Belisle       R  16   7   0   0   0   1   0   2   0   0   0  .438  .471  .438 
Heath Bell         R  10   4   0   0   1   2   0   1   0   0   0  .400  .500  .700 
Armando Benitez    R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Jeff Bennett       R   6   2   1   0   0   1   0   3   1   0   0  .333  .500  .500 
Kris Benson        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Jason Bergmann     R  25   5   1   1   0   3   0   8   0   0   1  .200  .276  .320 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Berken       R   3   0   0   0   0   0   0   2   0   0   1  .000  .000  .000 
R. Betancourt      R   3   2   0   0   1   1   0   0   0   0   0  .667  .750 1.667 
Chad Billingsley   R   7   1   0   0   0   2   0   2   0   0   0  .143  .333  .143 
Joe Blanton        R  29   8   4   0   0   1   0   6   0   0   0  .276  .300  .414 
Mitchell Boggs     R   8   4   1   0   1   2   0   0   0   0   0  .500  .600 1.000 
Jeremy Bonderman   R   6   2   1   0   0   0   0   1   0   0   0  .333  .333  .500 
Joe Borowski       R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Blaine Boyer       R   7   3   0   0   0   1   0   1   0   0   0  .429  .500  .429 
Rex Brothers       L   2   0   0   0   0   2   2   0   0   0   0  .000  .500  .000 
Jim Brower         R   4   3   0   0   0   0   0   1   0   0   0  .750  .750  .750 
Jonathan Broxton   R   8   1   1   0   0   0   0   5   0   0   0  .125  .125  .250 
David Buchanan     R  16   5   0   0   0   1   0   2   0   0   0  .313  .353  .313 
Taylor Buchholz    R   9   3   0   0   0   0   0   4   0   0   0  .333  .333  .333 
Mark Buehrle       L  12   3   0   0   1   0   0   1   0   0   0  .250  .250  .500 
M. Bumgarner       L   9   2   0   0   0   0   0   2   0   0   0  .222  .222  .222 
A.J. Burnett       R  34   6   1   0   0   3   0  12   0   0   1  .176  .237  .206 
Sean Burnett       L   4   0   0   0   0   1   1   0   0   0   0  .000  .200  .000 
Mike Burns         R   4   2   0   0   1   0   0   0   0   0   0  .500  .500 1.250 
Jared Burton       R   4   2   0   0   0   1   0   1   0   0   0  .500  .600  .500 
David Bush         R  10   3   0   0   0   1   0   1   0   0   1  .300  .333  .300 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Byrd          R   8   2   1   0   1   0   0   2   0   0   0  .250  .250  .750 
Trevor Cahill      R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Matt Cain          R  28  11   6   0   0   1   0   4   2   0   0  .393  .452  .607 
Kiko Calero        R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Jorge Campillo     R   8   5   1   0   2   0   0   1   0   0   0  .625  .625 1.500 
Matt Capps         R   3   0   0   0   0   1   0   2   0   0   0  .000  .250  .000 
Chris Capuano      L  18   6   2   0   2   2   0   2   0   0   0  .333  .400  .778 
Buddy Carlyle      R  10   2   0   0   0   4   0   1   0   0   0  .200  .429  .200 
Fausto Carmona     R   5   2   1   0   0   1   0   1   0   0   0  .400  .500  .600 
