Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Aase           R   6   1   0   0   0   0   0   0   0   0   0  .167  .167  .167 
Glenn Abbott       R   5   1   0   0   1   0   0   0   0   0   0  .200  .200  .800 
Jim Acker          R   5   0   0   0   0   1   0   0   0   0   0  .000  .167  .000 
Juan Agosto        L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Doyle Alexander    R  19   4   1   0   0   1   0   3   0   1   0  .211  .250  .263 
Allan Anderson     L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Mike Armstrong     R   9   3   1   0   1   0   0   1   0   1   0  .333  .333  .778 
Keith Atherton     R   6   2   1   0   0   1   1   1   0   0   0  .333  .429  .500 
Doug Bair          R   4   0   0   0   0   1   1   0   0   0   0  .000  .200  .000 
Steve Baker        R   8   4   0   0   0   1   0   1   0   0   0  .500  .556  .500 
Floyd Bannister    L  20   3   0   0   1   1   0   4   0   0   0  .150  .190  .300 
Len Barker         R  21   6   1   0   0   2   0   5   0   0   0  .286  .348  .333 
Salome Barojas     R  11   3   1   0   0   0   0   2   0   0   1  .273  .250  .364 
Dave Beard         R   5   3   0   0   0   2   2   1   0   1   0  .600  .714  .600 
Jim Beattie        R  24   6   2   0   0   2   0   3   0   0   0  .250  .308  .333 
Joe Beckwith       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Dwight Bernard     R   4   2   0   1   0   0   0   1   0   0   0  .500  .500 1.000 
Buddy Black        L  28   8   0   0   1   2   0   2   0   0   0  .286  .333  .393 
Vida Blue          L   3   0   0   0   0   0   0   0   0   1   0  .000  .000  .000 
Bert Blyleven      R  21   4   0   0   0   2   0   5   0   1   1  .190  .250  .190 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Mike Boddicker     R  27  10   2   0   1   1   0   5   0   0   0  .370  .393  .556 
Rich Bordi         R   4   2   0   0   0   0   0   1   0   0   0  .500  .500  .500 
Oil Can Boyd       R  20   7   0   0   0   0   0   3   0   1   0  .350  .350  .350 
Tom Brennan        R  10   4   2   0   0   0   0   3   0   0   0  .400  .400  .600 
Mike Brown         R   5   2   0   0   0   0   0   0   0   0   0  .400  .400  .400 
Steve Brown        R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Tom Burgmeier      L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Britt Burns        L  20   5   3   0   1   0   0   2   0   0   0  .250  .250  .550 
John Butcher       R   4   1   1   0   0   0   0   2   0   0   0  .250  .250  .500 
Mike Caldwell      L  19   5   1   0   2   1   0   3   0   0   0  .263  .300  .632 
Ernie Camacho      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
John Candelaria    L   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Bobby Castillo     R   6   1   1   0   0   2   0   2   0   0   0  .167  .375  .333 
Bill Caudill       R  12   1   0   0   0   0   0   1   0   0   0  .083  .083  .083 
Jim Clancy         R  28   7   2   1   0   1   0   7   0   0   0  .250  .276  .393 
Bryan Clark        L  10   0   0   0   0   1   0   2   0   0   0  .000  .091  .000 
Mark Clear         R  14   3   0   0   0   1   0   6   0   0   0  .214  .267  .214 
Roger Clemens      R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Chris Codiroli     R  16   5   1   1   0   1   1   3   1   0   0  .313  .389  .500 
Tim Conroy         L  18   5   0   0   2   2   0   4   0   0   0  .278  .350  .611 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Doug Corbett       R   5   3   0   0   0   0   0   0   0   0   0  .600  .600  .600 
Joe Cowley         R   5   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Steve Crawford     R   3   2   1   0   0   1   1   0   0   0   0  .667  .750 1.000 
Keith Creel        R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
John Curtis        L   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Storm Davis        R  23   5   1   0   0   3   0   2   0   0   0  .217  .308  .261 
Ron Davis          R   9   2   0   0   1   1   0   1   0   0   0  .222  .300  .556 
Richard Dotson     R  40  11   2   0   1   2   0   5   0   0   0  .275  .310  .400 
Jamie Easterly     L   6   1   0   0   1   1   0   0   0   0   1  .167  .250  .667 
Dennis Eckersley   R  25   6   2   0   0   1   0   2   0   0   0  .240  .269  .320 
Steve Farr         R   8   2   1   1   0   0   0   1   0   0   0  .250  .250  .625 
Sid Fernandez      L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Pete Filson        L   7   3   2   0   0   1   0   0   0   0   0  .429  .500  .714 
Rollie Fingers     R   7   2   0   0   0   0   0   0   0   1   0  .286  .286  .286 
Mike Flanagan      L  19   7   2   0   1   1   1   1   0   0   1  .368  .381  .632 
Ray Fontenot       L  13   3   0   0   0   1   0   3   0   0   0  .231  .286  .231 
Ken Forsch         R   8   4   0   0   0   0   0   0   1   0   0  .500  .556  .500 
George Frazier     R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Dave Frost         R   7   1   0   0   0   0   0   1   0   0   0  .143  .143  .143 
Dave Geisel        L   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bob Gibson         R   6   2   0   0   0   0   0   0   0   0   0  .333  .333  .333 
Dave Goltz         R   5   2   0   0   0   1   0   1   0   0   0  .400  .500  .400 
Dwight Gooden      R   6   2   0   1   0   1   0   2   0   0   0  .333  .429  .667 
Rich Gossage       R   5   2   0   0   0   0   0   2   0   0   1  .400  .333  .400 
Jim Gott           R  11   2   0   0   0   0   0   1   0   0   1  .182  .167  .182 
Mark Gubicza       R  11   2   0   1   0   1   0   1   0   0   0  .182  .250  .364 
Lee Guetterman     L   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Ron Guidry         L  28   3   1   0   0   1   0   6   0   0   0  .107  .138  .143 
Larry Gura         L  11   5   2   0   0   1   0   0   0   1   0  .455  .500  .636 
Moose Haas         R  32   9   1   1   0   1   1   3   0   0   0  .281  .303  .375 
Preston Hanna      R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Brad Havens        L  10   2   0   0   0   1   1   0   0   0   0  .200  .273  .200 
Neal Heaton        L  18   2   1   0   0   1   0   3   0   0   0  .111  .158  .167 
G. Hernandez       L   5   4   0   0   0   1   0   0   0   0   1  .800  .714  .800 
Kevin Hickey       L   5   2   1   0   0   0   0   0   0   0   0  .400  .400  .600 
Teddy Higuera      L   6   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Don Hood           L   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
LaMarr Hoyt        R  18   5   0   1   0   0   0   1   0   0   0  .278  .278  .389 
Mark Huismann      R   8   2   0   0   2   0   0   1   0   0   0  .250  .250 1.000 
Bruce Hurst        L  14   3   0   0   0   0   0   7   0   0   0  .214  .214  .214 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Roy Lee Jackson    R   7   3   0   0   1   0   0   0   0   0   0  .429  .429  .857 
Bob James          R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Tommy John         L  19   6   2   0   0   2   0   3   0   0   0  .316  .381  .421 
Jeff Jones         R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Matt Keough        R   8   2   0   0   1   1   0   1   0   0   0  .250  .333  .625 
Jimmy Key          L   7   2   1   0   0   1   0   0   0   0   0  .286  .375  .429 
Bruce Kison        R  11   2   0   0   0   1   0   3   0   0   0  .182  .250  .182 
Jerry Koosman      L   9   2   1   0   0   0   0   0   0   0   0  .222  .222  .333 
Bill Krueger       L   9   0   0   0   0   1   0   1   0   0   0  .000  .100  .000 
Pete Ladd          R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Dennis Lamp        R  17   5   0   1   0   0   0   2   0   0   0  .294  .294  .412 
Rick Langford      R   9   2   1   0   0   0   0   1   0   0   0  .222  .222  .333 
Mark Langston      L   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Luis Leal          R  22   8   1   1   2   1   0   1   0   0   0  .364  .391  .773 
C. Leibrandt       L   9   1   0   0   0   0   0   0   0   0   0  .111  .111  .111 
Dennis Leonard     R  14   7   1   0   0   1   0   0   0   1   0  .500  .533  .571 
