Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Bronson Arroyo     R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Brandon Backe      R   5   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Taylor Buchholz    R   3   1   0   0   1   0   0   1   0   0   1  .333  .250 1.333 
Sean Burnett       L   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
David Bush         R   6   2   0   0   0   0   0   2   0   0   0  .333  .333  .333 
Matt Cain          R   6   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Chris Carpenter    R  18   8   1   0   0   1   0   2   0   2   0  .444  .474  .500 
Brandon Claussen   L   1   0   0   0   0   1   0   1   0   3   0  .000  .500  .000 
Johnny Cueto       R   4   1   0   0   1   0   0   1   0   1   0  .250  .250 1.000 
Doug Davis         L   5   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Zach Duke          L   6   3   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Nelson Figueroa    R   5   1   1   0   0   0   0   3   0   0   0  .200  .200  .400 
Josh Fogg          R   8   4   1   0   1   0   0   3   0   0   0  .500  .500 1.000 
Yovani Gallardo    R   3   1   0   0   1   0   0   0   0   0   1  .333  .250 1.333 
Tom Glavine        L   6   2   0   0   1   0   0   3   0   0   0  .333  .333  .833 
Tom Gorzelanny     L   5   1   1   0   0   0   0   0   0   1   0  .200  .200  .400 
Danny Graves       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Zack Greinke       R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Aaron Harang       R  17   3   1   0   1   0   0   9   0   0   0  .176  .176  .412 
Livan Hernandez    R   4   1   1   0   0   0   0   0   0   0   0  .250  .250  .500 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Tim Hudson         R   7   1   0   0   0   0   0   2   0   0   0  .143  .143  .143 
Zach Jackson       L   4   1   0   0   1   0   0   1   0   0   0  .250  .250 1.000 
Jason Jennings     R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Randy Johnson      L   4   2   1   0   0   0   0   2   0   0   0  .500  .500  .750 
Jeff Karstens      R   5   1   1   0   0   0   0   1   0   0   0  .200  .200  .400 
Esteban Loaiza     R   3   1   0   0   0   0   0   0   0   0   1  .333  .250  .333 
Kyle Lohse         R   8   2   0   0   2   0   0   2   0   0   0  .250  .250 1.000 
Derek Lowe         R   8   1   0   0   0   0   0   4   0   0   0  .125  .125  .125 
Paul Maholm        L   8   3   1   0   0   0   0   3   0   1   0  .375  .375  .500 
John Maine         R   3   0   0   0   0   0   0   3   0   1   0  .000  .000  .000 
Jason Marquis      R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Nick Masset        R   4   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Wade Miller        R  10   2   0   0   1   0   0   5   0   1   0  .200  .200  .500 
Eric Milton        L   7   2   0   0   0   0   0   1   0   0   0  .286  .286  .286 
Pat Misch          L   4   2   1   0   0   0   0   1   0   0   0  .500  .500  .750 
Matt Morris        R   9   2   1   0   0   0   0   3   0   0   0  .222  .222  .333 
Brett Myers        R   7   1   0   0   0   0   0   3   0   0   0  .143  .143  .143 
Bud Norris         R   4   1   0   0   0   0   0   0   0   0   0  .250  .250  .250 
Darren Oliver      L   6   2   0   0   1   0   0   2   0   0   0  .333  .333  .833 
Roy Oswalt         R  16   1   0   0   1   0   0   8   0   0   0  .063  .063  .250 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Oliver Perez       L   8   1   0   0   0   1   0   4   0   0   0  .125  .222  .125 
Andy Pettitte      L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Tim Redding        R   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Wandy Rodriguez    L  14   2   1   0   1   0   0   7   0   0   0  .143  .143  .429 
Kirk Saarloos      R   3   0   0   0   0   0   0   2   0   1   0  .000  .000  .000 
Victor Santos      R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Ben Sheets         R  18   6   0   0   0   0   0   5   0   0   0  .333  .333  .333 
Ian Snell          R   6   3   1   0   0   0   0   1   0   1   0  .500  .500  .667 
Tim Stauffer       R   3   0   0   0   0   1   0   3   0   1   0  .000  .250  .000 
Jeff Suppan        R  11   4   0   1   0   0   0   2   0   1   0  .364  .364  .545 
Claudio Vargas     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Javier Vazquez     R   6   1   1   0   0   0   0   3   0   0   0  .167  .167  .333 
Ryan Vogelsong     R   4   1   0   0   0   0   0   2   0   0   0  .250  .250  .250 
Adam Wainwright    R   8   1   0   0   0   0   0   4   0   1   0  .125  .125  .125 
Kip Wells          R   7   3   1   0   0   0   0   1   0   0   0  .429  .429  .571 
Woody Williams     R   4   1   0   0   1   0   0   2   0   0   0  .250  .250 1.000 
Dontrelle Willis   L   4   1   1   0   0   0   0   1   0   3   0  .250  .250  .500 
Randy Wolf         L   8   4   1   0   0   0   0   0   0   0   0  .500  .500  .625 
Jamey Wright       R   3   0   0   0   0   0   0   1   0   1   0  .000  .000  .000 
Barry Zito         L   4   0   0   0   0   0   0   0   0   1   0  .000  .000  .000
