Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Terry Adams        R   2   2   0   0   0   2   0   0   0   0   0 1.000 1.000 1.000 
Jeremy Affeldt     L   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Kevin Appier       R  11   5   1   0   0   1   0   1   0   0   0  .455  .500  .545 
Tony Armas         R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Rolando Arrojo     R  11   2   0   1   0   1   0   1   0   0   0  .182  .250  .364 
Bronson Arroyo     R  19   6   0   0   1   0   0   1   0   0   0  .316  .316  .474 
Andy Ashby         R   4   1   0   0   0   2   0   1   0   0   0  .250  .500  .250 
Pedro Astacio      R   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Danys Baez         R   9   1   0   0   0   1   0   1   0   0   0  .111  .200  .111 
Scott Baker        R   5   1   0   0   0   1   0   3   0   0   0  .200  .333  .200 
James Baldwin      R  10   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Brian Bass         R   3   1   0   0   0   1   0   0   1   0   1  .333  .500  .333 
Miguel Batista     R  17   3   0   0   2   0   0   2   0   0   0  .176  .176  .529 
Rod Beck           R   4   3   0   0   1   0   0   1   0   0   0  .750  .750 1.500 
Josh Beckett       R  18   4   3   0   0   0   0   4   0   0   0  .222  .222  .389 
Erik Bedard        L   8   2   1   0   0   0   0   0   0   0   0  .250  .250  .375 
Tim Belcher        R   8   2   1   0   0   0   0   1   0   0   0  .250  .250  .375 
Rob Bell           R   7   4   1   0   0   2   0   0   0   0   0  .571  .667  .714 
Joaquin Benoit     R   8   0   0   0   0   1   0   2   0   0   0  .000  .111  .000 
Kris Benson        R  19   5   0   0   0   2   0   4   0   0   0  .263  .333  .263 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Jason Bere         R   4   2   0   0   0   1   0   0   0   0   0  .500  .600  .500 
Sean Bergman       R   7   2   1   0   0   1   0   2   0   0   0  .286  .375  .429 
R. Betancourt      R   3   1   1   0   0   2   1   0   0   1   0  .333  .600  .667 
Joe Blanton        R  13   3   1   0   0   2   0   2   0   0   0  .231  .333  .308 
Jeremy Bonderman   R  14   2   1   0   0   2   0   1   0   0   1  .143  .235  .214 
Ricky Bones        R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Boof Bonser        R   8   1   0   0   1   0   0   2   0   0   0  .125  .125  .500 
Dave Borkowski     R   4   1   1   0   0   0   0   1   0   0   0  .250  .250  .500 
Joe Borowski       R   5   1   0   0   0   0   0   1   0   0   0  .200  .200  .200 
Shawn Boskie       R   6   1   0   0   0   0   0   2   0   0   1  .167  .143  .167 
Ricky Bottalico    R   8   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Chad Bradford      R   2   1   0   0   0   2   0   0   0   0   0  .500  .750  .500 
Dewon Brazelton    R  10   1   0   0   0   2   0   2   0   0   0  .100  .250  .100 
Craig Breslow      L   4   2   1   0   0   0   0   0   0   0   0  .500  .500  .750 
Jamie Brewington   R   4   0   0   0   0   1   0   1   0   0   0  .000  .200  .000 
Doug Brocail       R   4   1   1   0   0   1   0   1   0   1   0  .250  .400  .500 
Jim Brower         R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Kevin Brown        R  10   2   1   0   0   1   0   2   0   0   1  .200  .250  .300 
Brian Bruney       R   4   1   0   0   1   0   0   1   0   0   1  .250  .200 1.000 
Jim Bruske         R   3   2   1   0   0   1   0   1   0   0   0  .667  .750 1.000 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Clay Buchholz      R  11   3   2   0   0   1   0   2   0   0   0  .273  .333  .455 
Mark Buehrle       L  11   2   0   0   0   1   0   2   0   0   0  .182  .250  .182 
Melvin Bunch       R   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Dave Burba         R   6   0   0   0   0   3   1   1   0   0   0  .000  .333  .000 
A.J. Burnett       R   7   3   0   0   0   1   0   1   0   0   0  .429  .500  .429 
Brian Burres       L   6   1   1   0   0   1   0   1   1   0   0  .167  .375  .333 
Mike Bynum         L   5   2   0   0   0   0   0   1   0   0   0  .400  .400  .400 
Paul Byrd          R  17   3   1   0   0   0   0   2   0   0   0  .176  .176  .235 
Daniel Cabrera     R  31   8   2   0   1   3   0   8   0   0   0  .258  .324  .419 
Fernando Cabrera   R   5   1   0   0   0   1   0   0   0   0   0  .200  .333  .200 
Chris Carpenter    R   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
D.J. Carrasco      R   6   1   0   0   0   2   0   0   0   0   0  .167  .375  .167 
Hector Carrasco    R   5   1   0   0   0   1   1   0   0   0   0  .200  .333  .200 
Lance Carter       R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Frank Castillo     R   5   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Shawn Chacon       R   9   1   0   0   0   2   0   2   0   0   0  .111  .273  .111 
Joba Chamberlain   R   7   0   0   0   0   0   0   4   0   0   0  .000  .000  .000 
Bruce Chen         L   8   2   0   0   0   1   0   3   0   0   0  .250  .333  .250 
J. Christiansen    L   6   1   0   0   0   1   0   3   0   0   0  .167  .286  .167 
Mark Clark         R   9   1   0   0   0   1   0   3   0   0   0  .111  .200  .111 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Roger Clemens      R  19   4   2   0   1   1   0   4   0   0   0  .211  .250  .474 
Matt Clement       R  17   6   2   0   1   2   1   3   0   0   0  .353  .421  .647 
Jesus Colome       R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Bartolo Colon      R  11   3   1   0   1   3   0   2   0   0   0  .273  .429  .636 
David Cone         R   5   1   0   0   0   1   0   2   0   0   1  .200  .286  .200 
Jose Contreras     R  10   3   0   0   0   4   0   0   0   0   0  .300  .500  .300 
Dennis Cook        L   3   1   0   0   0   0   0   1   0   0   1  .333  .250  .333 
F. Cordero         R   6   0   0   0   0   2   0   1   0   0   0  .000  .250  .000 
Neal Cotts         L   5   3   1   0   1   0   0   0   0   0   0  .600  .600 1.400 
