Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Paul Abbott        R   3   1   0   0   0   1   0   0   0   0   0  .333  .500  .333 
Juan Acevedo       R   9   3   1   0   0   0   0   1   0   0   0  .333  .333  .444 
Terry Adams        R  18   2   0   0   0   1   0   1   0   0   0  .111  .158  .111 
Darrel Akerfelds   R   9   4   0   0   0   0   0   1   0   0   0  .444  .444  .444 
A. Alfonseca       R  14   5   2   0   0   2   1   1   0   0   0  .357  .438  .500 
Armando Almanza    L   6   1   1   0   0   0   0   2   0   0   0  .167  .167  .333 
Wilson Alvarez     L  10   4   1   0   0   3   0   1   0   0   0  .400  .538  .500 
Larry Andersen     R  10   2   1   0   0   0   0   1   0   0   0  .200  .200  .300 
Brian Anderson     L  12   3   0   0   0   2   0   1   0   0   1  .250  .333  .250 
Jimmy Anderson     L   8   3   0   0   1   1   0   1   0   0   0  .375  .444  .750 
Kevin Appier       R   5   2   0   0   1   0   0   1   0   0   0  .400  .400 1.000 
Luis Aquino        R   5   3   1   0   0   1   0   1   0   0   0  .600  .667  .800 
Tony Armas         R  13   5   1   0   1   1   0   2   0   0   0  .385  .429  .692 
Jack Armstrong     R  14   3   0   0   1   2   0   4   0   0   0  .214  .313  .429 
Rolando Arrojo     R  15   3   1   0   1   3   0   5   0   0   0  .200  .333  .467 
Bronson Arroyo     R   5   2   0   0   0   1   0   0   0   0   0  .400  .500  .400 
Andy Ashby         R  34  12   3   0   2   6   0   3   1   0   0  .353  .463  .618 
Paul Assenmacher   L   9   3   0   0   0   4   0   3   0   0   0  .333  .538  .333 
Pedro Astacio      R  48  16   3   0   2   5   0  11   0   0   0  .333  .396  .521 
Steve Avery        L  42  10   3   0   2   4   0   6   0   0   0  .238  .304  .452 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Luis Ayala         R   5   1   1   0   0   0   0   2   0   0   0  .200  .200  .400 
Bobby Ayala        R   4   2   0   0   0   0   0   0   0   0   0  .500  .500  .500 
Manny Aybar        R   4   2   0   0   0   0   0   2   0   0   0  .500  .500  .500 
Roger Bailey       R   7   1   1   0   0   3   0   0   0   0   0  .143  .400  .286 
Cory Bailey        R   5   1   0   0   0   0   0   2   0   0   0  .200  .200  .200 
James Baldwin      R  12   1   0   0   1   0   0   3   0   0   0  .083  .083  .333 
Scott Bankhead     R   4   0   0   0   0   0   0   0   0   0   0  .000  .000  .000 
Willie Banks       R   4   1   0   0   0   2   0   2   1   0   0  .250  .571  .250 
Brian Barber       R   3   3   2   0   0   1   0   0   0   0   0 1.000 1.000 1.667 
Brian Barnes       L  13   6   2   0   0   0   0   4   0   0   0  .462  .462  .615 
Miguel Batista     R  11   1   0   0   0   1   1   4   1   0   0  .091  .231  .091 
Jose Bautista      R  17   6   0   0   2   0   0   3   0   0   0  .353  .353  .706 
Rod Beck           R  19   4   0   0   1   1   0   4   0   0   0  .211  .250  .368 
Josh Beckett       R   7   1   0   0   0   2   0   1   0   0   0  .143  .333  .143 
Steve Bedrosian    R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Matt Beech         L   9   1   0   0   1   2   0   2   0   0   1  .111  .250  .444 
Tim Belcher        R  17   5   3   0   0   0   0   2   0   0   1  .294  .278  .471 
Stan Belinda       R  17   3   2   0   1   4   0   4   0   0   0  .176  .333  .471 
Rigo Beltran       L   4   3   0   0   0   0   0   1   0   0   0  .750  .750  .750 
Alan Benes         R  12   5   0   0   1   3   0   4   0   0   0  .417  .533  .667 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Andy Benes         R  59  13   0   0   1   5   0   9   0   0   0  .220  .281  .271 
Armando Benitez    R   6   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Kris Benson        R  12   3   1   0   0   1   0   3   0   0   1  .250  .286  .333 
Jason Bere         R   4   0   0   0   0   2   0   0   0   0   0  .000  .333  .000 
Juan Berenguer     R   4   0   0   0   0   0   0   1   0   0   0  .000  .000  .000 
Sean Bergman       R  12   5   0   0   1   1   0   2   0   0   0  .417  .462  .667 
Mike Bielecki      R  19   6   2   1   1   6   0   4   0   0   0  .316  .480  .684 
Buddy Black        L   5   2   0   0   0   1   0   1   1   0   0  .400  .571  .400 
Willie Blair       R  25   9   1   0   1   2   1   6   0   0   0  .360  .407  .520 
Doug Bochtler      R   8   0   0   0   0   0   0   2   0   0   0  .000  .000  .000 
Brian Boehringer   R   2   0   0   0   0   2   0   1   0   0   0  .000  .500  .000 
Joe Boever         R   7   0   0   0   0   2   0   1   0   0   0  .000  .222  .000 
Brian Bohanon      L  15   7   1   0   1   1   0   2   0   0   0  .467  .500  .733 
Ricky Bones        R   9   2   0   0   0   0   0   0   0   0   0  .222  .222  .222 
Pedro Borbon       L   4   1   0   0   0   0   0   1   0   0   0  .250  .250  .250 
Toby Borland       R   5   1   0   0   0   1   0   1   0   0   0  .200  .333  .200 
Joe Borowski       R   6   1   1   0   0   0   0   1   0   0   0  .167  .167  .333 
Shawn Boskie       R  20   6   2   0   2   4   0   0   0   0   0  .300  .417  .700 
Ricky Bottalico    R   5   0   0   0   0   5   0   2   0   0   0  .000  .500  .000 
Kent Bottenfield   R  11   2   0   0   1   2   0   0   0   0   0  .182  .308  .455 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Ryan Bowen         R  10   3   0   0   0   1   0   0   0   0   0  .300  .364  .300 
Oil Can Boyd       R  11   2   0   0   1   3   0   2   0   0   0  .182  .357  .455 
Jason Boyd         R   4   1   0   0   0   1   0   1   0   0   0  .250  .400  .250 
Chad Bradford      R   5   1   0   0   0   0   0   0   0   0   0  .200  .200  .200 
Cliff Brantley     R   3   1   0   0   0   0   0   1   0   0   1  .333  .250  .333 
Jeff Brantley      R  26   4   1   0   1   0   0   6   0   0   0  .154  .154  .308 
Brad Brink         R   6   3   0   0   0   1   0   0   0   0   0  .500  .571  .500 
Doug Brocail       R  11   3   0   0   0   0   0   3   0   0   0  .273  .273  .273 
Chris Brock        R   5   0   0   0   0   1   0   1   0   0   0  .000  .167  .000 
Jim Brower         R  10   4   1   0   0   0   0   2   0   0   0  .400  .400  .500 
Kevin Brown        R  26   5   0   0   0   1   0   5   0   0   0  .192  .222  .192 
Tom Browning       L  20   5   1   0   1   0   0   1   0   0   1  .250  .238  .450 
Jim Bullinger      R  20   5   3   0   0   5   0   4   1   0   0  .250  .423  .400 
Dave Burba         R  18   1   1   0   0   4   0   5   0   0   2  .056  .208  .111 
Tim Burke          R  11   4   0   1   1   2   0   3   0   0   0  .364  .462  .818 
John Burkett       R  59  14   4   0   2   7   1  16   0   0   0  .237  .318  .407 
A.J. Burnett       R  13   2   0   0   0   4   0   2   0   0   0  .154  .353  .154 
Paul Byrd          R  16   6   1   0   0   0   0   3   0   0   0  .375  .375  .438 
Jose Cabrera       R   5   1   0   0   0   0   0   3   0   0   0  .200  .200  .200 
Tom Candiotti      R  31   8   2   0   1   3   0   4   0   0   0  .258  .324  .419 
Pitcher          R/L  AB   H  2B  3B  HR  BB IBB  SO HBP  SH  SF   AVG   OBP   SLG
Don Carman         L   3   0   0   0   0   1   0   0   0   0   0  .000  .250  .000 
Chris Carpenter    R  10   4   1   0   0   3   0   3   0   0   1  .400  .500  .500 
Giovanni Carrara   R   9   1   0   0   0   0   0   2   0   0   0  .111  .111  .111 
Hector Carrasco    R  11   1   0   0   0   2   0   2   0   0   0  .091  .231  .091 
Carlos Castillo    R   4   1   0   0   0   1   0   2   0   0   0  .250  .400  .250 
Frank Castillo     R  36  11   1   0   2   3   0   3   1   0   0  .306  .375  .500 
Shawn Chacon       R   3   0   0   0   0   1   0   1   0   0   0  .000  .250  .000 
Norm Charlton      L  11   4   0   0   0   3   0   1   0   0   0  .364  .500  .364 
