Player ID 	lname fname
aardd001	Aardsma David
aaroh101	Aaron Hank
aarot101	Aaron Tommie
aased001	Aase Don
abada001	Abad Andy
abadf001	Abad Fernando
abadj101	Abadie John
abbae101	Abbaticchio Ed
abbeb101	Abbey Bert
abbec101	Abbey Charlie
abbod101	Abbott Dan
abbof101	Abbott Fred
abbog001	Abbott Glenn
abboj002	Abbott Jeff
abboj001	Abbott Jim
abbok002	Abbott Kurt
abbok001	Abbott Kyle
abboo101	Abbott Ody
abbop001	Abbott Paul
abbos801	Abbott Spencer
abera101	Aber Al
aberd101	Abercrombie Frank
aberr001	Abercrombie Reggie
aberb101	Abernathie Bill
aberb001	Abernathy Brent
abert102	Abernathy Ted
abert101	Abernathy Ted
aberw101	Abernathy Woody
aberc101	Aberson Cliff
ableh101	Ables Harry
abnes001	Abner Shawn
abrac101	Abrams Cal
abrag101	Abrams George
abrej001	Abrego Johnny
abreb001	Abreu Bobby
abrej101	Abreu Joe
abrej003	Abreu Jose
abrej002	Abreu Juan
abret001	Abreu Tony
abrew001	Abreu Winston
abstb101	Abstein Bill
accaj001	Accardo Jeremy
acevj002	Acevedo Jose
acevj001	Acevedo Juan
aceva001	Aceves Alfredo
achta001	Achter A.J.
ackej001	Acker Jim
acket101	Acker Tom
ackld001	Ackley Dustin
acklf101	Ackley Fritz
acosc101	Acosta Cy
acose101	Acosta Ed
acosj101	Acosta Jose
acosm001	Acosta Manny
acosm101	Acosta Merito
acoso801	Acosta Oscar
acrem001	Acre Mark
actam801	Acta Manny
adaib801	Adair Bill
adaij101	Adair Jerry
adaij102	Adair Jimmy
adair801	Adair Rick
adamc001	Adames Cristhian
adama101	Adams Ace
adama001	Adams Austin
adamb104	Adams Babe
adamb106	Adams Bert
adamb107	Adams Bob
adamb102	Adams Bob
adamb105	Adams Bob
adamb103	Adams Bobby
adamb101	Adams Buster
adamc901	Adams Clarence
adamd103	Adams Dan
adamd001	Adams David
adamd102	Adams Dick
adamd101	Adams Doug
adamg102	Adams George
adamg101	Adams Glenn
adamj901	Adams Harry
adamh101	Adams Herb
adamj101	Adams Jim
adamj102	Adams Joe
adamk101	Adams Karl
adaml001	Adams Lane
adamm002	Adams Matt
adamm102	Adams Mike
adamm001	Adams Mike
adamr101	Adams Red
adamr102	Adams Rick
adamr001	Adams Ricky
adamr002	Adams Russ
adamr003	Adams Ryan
adams101	Adams Sparky
adams102	Adams Spencer
adamt001	Adams Terry
adamw101	Adams Willie
adamw001	Adams Willie
adamj001	Adamson Joel
adamm101	Adamson Mike
adcoj101	Adcock Joe
adcon001	Adcock Nathan
addib101	Addis Bob
adduj001	Adduci Jim
adduj002	Adduci Jim
addyb101	Addy Bob
adenn001	Adenhart Nick
aderm101	Aderholt Morrie
adkid103	Adkins Dewey
adkid101	Adkins Dick
adkid102	Adkins Doc
adkig101	Adkins Grady
adkij001	Adkins Jon
adkis001	Adkins Steve
adleu901	Adler 
adled101	Adlesh Dave
adrie001	Adrianza Ehire
afent001	Afenir Troy
affej001	Affeldt Jeremy
agbab001	Agbayani Benny
ageet101	Agee Tommie
aggah101	Agganis Harry
aglej101	Agler Joe
agnes101	Agnew Sam
